,value,term,classify,congoness
506,0.06829400839816463,post,Congo and Belgrade,0.08229623171667584
508,0.06828055612492914,atlantic,Congo and Belgrade,0.030353840747802525
510,0.06817485315666076,neo,Congo and Belgrade,0.0396364998327904
512,0.06815672910657651,designed,Congo and Belgrade,0.013256171175826779
514,0.06812283704929528,farid,Congo and Belgrade,0.04493645160142102
516,0.06812283704929528,hamid,Belgrade Only,-0.0
518,0.06766553525158303,continues,Congo and Belgrade,0.009133758854867035
520,0.06760728017429943,opinion,Belgrade Only,-0.07615113554734734
522,0.06745593342591942,special,Belgrade Only,-0.025641193008261783
524,0.06706754632516508,hold,Congo and Belgrade,0.01855782124011144
526,0.06697034744021482,words,Congo and Belgrade,0.04175985769702513
528,0.06696842055830372,manager,Belgrade Only,-0.0
530,0.06683722795061275,haile,Congo and Belgrade,0.044054576561431615
532,0.06683580648304008,fluence,Belgrade Only,-0.029022166499674807
534,0.06675953728568959,ghana,Congo and Belgrade,0.1596014012261411
536,0.06648989747418195,mr,Congo and Belgrade,0.38317406886681415
538,0.06608712683059922,millions,Belgrade Only,-0.00020676935528946935
540,0.06605176124415521,suffered,Belgrade Only,-0.011479420538845906
542,0.06602553151240417,centres,Belgrade Only,-0.038617690327879414
544,0.06601681888907579,personally,Congo and Belgrade,0.01917161064042853
546,0.06599962503583806,ministers,Belgrade Only,-0.027559585634460638
548,0.06597131999405051,solve,Congo and Belgrade,0.017238265348227682
550,0.0656056930307937,mrs,Congo and Belgrade,0.019573536276819785
552,0.06542727202724871,contacts,Congo and Belgrade,0.009093099921893505
554,0.06536841220202462,full,Congo and Belgrade,0.07839130874330058
556,0.06504465738474333,exploiting,Belgrade Only,-0.0
558,0.06470918157607157,kamel,Belgrade Only,-0.05810890010941325
560,0.06470249317809132,differences,Congo and Belgrade,0.02246822580071051
562,0.06470249317809132,withdraw,Congo and Belgrade,0.04384066144003098
564,0.06464055366401245,faithful,Congo and Belgrade,0.023563482294066188
566,0.06463674476385356,geria,Congo and Belgrade,0.01684223729114024
568,0.06440180885391354,struggling,Congo and Belgrade,0.019095234695027143
570,0.06424562812619436,immediate,Congo and Belgrade,0.020244049718266408
572,0.064240638059025,abboud,Congo and Belgrade,0.18307814612497267
574,0.06422686081332023,artificial,Belgrade Only,-0.052171911969546285
576,0.06410263204133229,ference,Congo and Belgrade,0.0002806798467167324
578,0.06399206781177841,ly,Belgrade Only,-0.026050139084037825
580,0.06395539649877628,mutual,Congo and Belgrade,0.01262495432976924
582,0.06367796232707286,solutions,Congo and Belgrade,0.0046589808907149645
584,0.06367541055006852,geneva,Congo and Belgrade,0.020741011203068944
586,0.0634901733538201,holds,Belgrade Only,-0.005689569986186958
588,0.06318288907980651,concept,Belgrade Only,-0.042620352933543465
590,0.06317751781544886,george,Belgrade Only,-0.0
592,0.0631099272829377,fils,Belgrade Only,-0.0
594,0.06309285486713134,conducted,Belgrade Only,-0.06854983310324181
596,0.06301805476983728,maintained,Belgrade Only,-0.03224271021435103
598,0.06299657842744523,designs,Congo and Belgrade,0.021043436317139508
600,0.06298587870622853,alternative,Congo and Belgrade,0.020223374868925448
602,0.06260338126970992,modibo,Belgrade Only,-0.025731562735671776
604,0.062324750327915374,ruled,Congo and Belgrade,0.00035735583131852537
606,0.06224216350794552,influence,Congo and Belgrade,0.10828981843280668
608,0.06208893674528886,considered,Congo and Belgrade,0.08546536500704824
610,0.0620701759056936,forts,Belgrade Only,-0.03877938596346976
612,0.06205730999086511,motives,Congo and Belgrade,0.01604712421146199
614,0.06205730999086511,ted,Congo and Belgrade,0.030803684209544067
616,0.06197365058907716,citizens,Belgrade Only,-0.035730070026801716
618,0.06185133034559798,mussawar,Congo and Belgrade,0.023598217672466792
620,0.0616007664350626,led,Congo and Belgrade,0.02329536535743374
622,0.06156864963194726,york,Congo and Belgrade,0.007332115541400294
624,0.06150913840978524,save,Belgrade Only,-0.018810335589585732
626,0.06134645507951539,conflict,Belgrade Only,-0.07390759954633501
628,0.0613435915242195,lecture,Congo and Belgrade,0.021522395752743145
630,0.061296782813679125,appointment,Belgrade Only,-0.007600976794498225
632,0.061218765116423865,pacts,Congo and Belgrade,0.05872033802740936
634,0.061042003004153814,cause,Belgrade Only,-0.04624965565068091
636,0.060847050897766035,develop,Belgrade Only,-0.05003709902408538
638,0.06076688484894983,importance,Congo and Belgrade,0.004506365751133329
640,0.06072197072414352,spread,Congo and Belgrade,0.031649237003950115
642,0.06070141817701684,neutralists,Belgrade Only,-0.010364559563934705
644,0.06058131748021335,successfully,Belgrade Only,-0.014699284045049115
646,0.060542264365830586,positive,Congo and Belgrade,0.11687771877331064
648,0.060470590032975675,easily,Congo and Belgrade,0.015823053168837524
650,0.06046720722899417,spirit,Congo and Belgrade,0.04882820524234414
652,0.06030108829581823,failed,Belgrade Only,-0.02036621438605596
654,0.060171362115595574,policies,Congo and Belgrade,0.024882965921003083
656,0.059499492845189975,handed,Congo and Belgrade,0.022367781132975828
658,0.059477608034497836,addressed,Belgrade Only,-0.003531412600675003
660,0.05929656532812175,big,Congo and Belgrade,0.11641476534349365
662,0.059268095166045885,plebiscite,Congo and Belgrade,0.04609162780236683
664,0.05923448287279544,emergence,Belgrade Only,-0.021402340825437943
666,0.058922468693588026,security,Congo and Belgrade,0.2005134622148818
668,0.05889033029035731,criticism,Congo and Belgrade,0.01639498076681893
670,0.0588082753805638,pursue,Belgrade Only,-0.050039371294307855
672,0.05869695858540368,stop,Belgrade Only,-0.07366805782374224
674,0.05858340232452906,territorial,Congo and Belgrade,0.05611781405860505
676,0.058376866221050726,bloc,Congo and Belgrade,0.03811513347813504
678,0.058324023839231874,colonial,Congo and Belgrade,0.13719559296742506
680,0.058295326182862164,laos,Belgrade Only,-0.00349514035505502
682,0.05829335216768675,training,Belgrade Only,-0.04745166921083195
684,0.058102393071076036,succeed,Congo and Belgrade,0.02465016840521131
686,0.05797454089362395,asia,Congo and Belgrade,0.04634702338726747
688,0.05796152767353858,friendship,Congo and Belgrade,0.09151593728770713
690,0.057693917609897574,italian,Congo and Belgrade,0.007876523049693766
692,0.05768248165946367,cast,Belgrade Only,-0.0013971422849201832
694,0.05758880587869378,attempt,Congo and Belgrade,0.07224639958056951
696,0.05747049009769956,jawaharlal,Belgrade Only,-0.028249044698342288
698,0.057371587002491085,india,Congo and Belgrade,0.0028658058615178093
700,0.05702720070054081,least,Belgrade Only,-0.025512012657263636
702,0.05695975760553794,expressed,Congo and Belgrade,0.03886051540222078
704,0.056856448362479224,representative,Congo and Belgrade,0.08681142072920221
706,0.05681842379261433,therefore,Congo and Belgrade,0.06836230038922655
708,0.056650768491080285,coexistence,Belgrade Only,-0.02050721451635064
710,0.05644916866493824,tv,Congo and Belgrade,0.043074059350375817
712,0.05643581137671772,ii,Belgrade Only,-0.032540474204255265
714,0.05612992383663161,ceived,Belgrade Only,-0.0
716,0.05611942581798378,commented,Congo and Belgrade,0.06902001374775163
718,0.05603910109434585,site,Congo and Belgrade,0.0009699866967158883
720,0.05599489092184386,struggle,Congo and Belgrade,0.2819558794335323
722,0.055940776147308656,issues,Congo and Belgrade,0.011328216137771551
724,0.05593064303409927,signs,Congo and Belgrade,0.04213264184493504
726,0.055904580846598766,tive,Congo and Belgrade,0.03604523442208851
728,0.055836157747757485,cold,Congo and Belgrade,0.05262457827211698
730,0.055734008906007874,left,Congo and Belgrade,0.014881387732972932
732,0.055634706491354914,joint,Congo and Belgrade,0.08219602068836347
734,0.05558061039505187,sugar,Belgrade Only,-0.07325342606900108
736,0.055512800863858035,increasing,Congo and Belgrade,0.00128758027169237
738,0.05549873311487997,ser,Belgrade Only,-0.012561030809889585
740,0.055412961398181235,entirely,Congo and Belgrade,0.03800555349080481
742,0.05531332819993104,gomhouria,Congo and Belgrade,0.12212580532390495
744,0.05525011764200509,territories,Congo and Belgrade,0.17002775530800734
746,0.054954118205594066,naval,Belgrade Only,-0.0
748,0.054954118205594066,values,Belgrade Only,-0.04373360935033188
750,0.05481597869278952,missions,Congo and Belgrade,0.05198110379548777
752,0.054806810044296383,opens,Congo and Belgrade,0.023598217672466792
754,0.05479588960950312,leading,Congo and Belgrade,0.07130279709773407
756,0.054458067663592034,colonialism,Congo and Belgrade,0.16107507936154353
758,0.054181069872453434,talk,Belgrade Only,-0.0749558440936171
760,0.05413534597141072,postpone,Belgrade Only,-0.0
762,0.05396932851757578,airport,Congo and Belgrade,0.020778987430834905
764,0.05396447160854903,gola,Congo and Belgrade,0.01934199113119719
766,0.05395525023085552,trips,Belgrade Only,-0.0
768,0.053946563613783256,exercise,Belgrade Only,-0.0
770,0.05372899790385887,discussed,Belgrade Only,-0.09087392240788557
772,0.05371332377932641,tuesday,Belgrade Only,-0.02162457672328796
774,0.053541140827165115,move,Belgrade Only,-0.0076848830772026765
776,0.053431604097413515,proved,Belgrade Only,-0.06301466713313209
778,0.05341986387314753,draw,Congo and Belgrade,0.04430681925088937
780,0.05334806529499711,ceylon,Congo and Belgrade,0.054881460263471515
782,0.05311153549992348,utmost,Congo and Belgrade,0.0008642093753558997
784,0.05308892095532285,delhi,Congo and Belgrade,0.02154976097157514
786,0.053054620629530064,shall,Congo and Belgrade,0.04948764361178543
788,0.0529082010930201,legitimate,Congo and Belgrade,0.097170833577456
790,0.05279847642460712,contracting,Belgrade Only,-0.006645887620123393
792,0.052478004500023566,risk,Congo and Belgrade,0.0152584968592378
794,0.05245332187646231,deputy,Congo and Belgrade,0.056208019276300265
796,0.052361287497317936,avoid,Congo and Belgrade,0.07781688629773026
798,0.052268943707442304,meantime,Congo and Belgrade,0.022954971051245568
800,0.052224074965952966,eco,Belgrade Only,-0.027772945705333216
802,0.052210378746770515,either,Congo and Belgrade,0.05092036756509746
804,0.05219249451723095,rejected,Belgrade Only,-0.0003688544259607235
806,0.051966696293995744,resumed,Belgrade Only,-0.0073769307406411
808,0.05178324977427685,hence,Belgrade Only,-0.03070724262487275
810,0.05176135345300683,mankind,Belgrade Only,-0.0
812,0.05149297251845703,urgent,Congo and Belgrade,0.04100337248043851
814,0.05149297251845703,viet,Belgrade Only,-0.02344083280052832
816,0.051418645118790386,granting,Congo and Belgrade,0.004810820471740975
818,0.051418645118790386,tend,Belgrade Only,-0.028249044698342288
820,0.051411757069570206,mies,Belgrade Only,-0.018197763559218032
822,0.05114898187948348,obvious,Congo and Belgrade,0.0011222865577009038
824,0.05103466298895666,communities,Belgrade Only,-0.0
826,0.0508536005168452,across,Belgrade Only,-0.015941926161725115
828,0.05082764005496501,throne,Belgrade Only,-0.01828465273373357
830,0.05080581050124428,establishing,Congo and Belgrade,0.0032845241538501683
832,0.05049287535419321,ialist,Belgrade Only,-0.0
834,0.050491974889270326,turkey,Congo and Belgrade,0.01848941962874712
836,0.05048253216315975,kwame,Congo and Belgrade,0.06173736522803148
838,0.05042986348235375,reliable,Belgrade Only,-0.0
840,0.0501113275836601,similar,Congo and Belgrade,0.04577090598349128
842,0.05007615647447128,sald,Belgrade Only,-0.038945764952530035
844,0.04997563609540047,employment,Belgrade Only,-0.01364990097975816
846,0.0498992116680295,arabia,Congo and Belgrade,0.001863239534886816
848,0.04982475373258737,sovereignty,Congo and Belgrade,0.038218925881638464
850,0.04981712936927272,existence,Congo and Belgrade,0.05213875788512507
852,0.04981597035010953,alignment,Congo and Belgrade,0.024211797105176427
854,0.04980744135499395,face,Congo and Belgrade,0.032269298825669
856,0.04970815221423857,convened,Belgrade Only,-0.015447701126485547
858,0.04958896253235355,fouad,Belgrade Only,-0.0
